Number of bits   Number of Generations   Total Time(sec)     Value of Key
--------------   ---------------------   ---------------     ------------
1                0                       2.236304688         1
2                0                       2.203252734         10
3                0                       2.199225056         111
4                0                       2.191248587         1101
5                0                       2.199366155         11101
6                0                       2.185045271         110011
7                1                       4.392588857         1101101
8                2                       6.589048862         11000101
9                1                       4.447381249         110000101
10               2                       6.587936009         1101101001
11               4                      11.221160653         11100010001
12               1                       4.448187046         110010111111
13               4                      11.519752106         1110001100101
14               4                      11.625855369         11010000110011
15               2                       6.995205550         111010010001011
16               5                      13.972971536         1101010100100001
17               8                      20.943901268         01011101110001101
18               4                      12.627041937         110010110001010001
19               5                      16.582310721         1111000000110011101
20               4                      11.964233118         11110000111000010111
21               8                      21.040948913         110111101001011000111
22               9                      23.228829640         1100000100010011100111
23               10                     25.500605286         11010100010011010110111
24               9                      23.317655997         111000000011011100001111
25               7                      18.795206346         1110000001111110011010101
26               12                     30.247873877         11110010011101011010100011
27               15                     37.167413176         110001010011101011111111111
28               10                     25.827926252         1111000111110110011000011111
29               11                     27.997265494         11011011000011001101010111101
30               11                     27.974118872         110001110101001000000010100111
31               12                     30.370207277         1110100111001111010001001001101
32               15                     39.060526112         11010011010101110001010011110001
33               12                     30.317756420         111100001111111011011011101010011
34               14                     35.013091469         1111101101100100111111100110100011
35               13                     32.871937324         11110111101111110011001101111101101
36               13                     32.679892027         110101000111111110101101010110100010
37               16                     39.708923561         1100010110011111111001100100010100001
38               14                     35.071276563         11110010101001110101110001001111011001
39               20                     49.030693135         101111100000101001111011111001001001111
40               17                     42.002950411         1101111010100000111100111110000010001111
41               16                     40.323840834         11000101010011100111001011011001100011101
42               24                     58.336836670         111100011001001001001011100010010110011101
43               17                     42.322329122         1101011111010010101110111000111011011010101
44               23                     58.199267048         11000101100010000101111001101101000001110111
45               21                     51.135217812         111000010001001110101100100110010110001011001
46               20                     49.043180835         1101011110111111001101111000101001001101001001
47               34                     82.369576741         11000101101011011011010101010010000111101001001
48               21                     51.999154999         110000101100101001001100111011111000001111111111
49               27                     65.476511014         1100000111000010100010001000011000111001100110101
50               21                     51.385303252         11010101011011011110001100000101110111010011001101
51               19                     47.129273917         111001110100111001100010000101010001000111001001011
52               23                     56.193079179         1001011000001110101001011100111101101101101101101001
53               30                     73.084820463         11010010111111001111000000000011100010110001010011111
54               22                     86.114291131         111001111010100000011110101100111111001110011101010001
55               27                    114.612267309         1110011011101101101000111110011011110101110001100100001
56               29                     69.816536641         11001000000100100111100100011111010111110100110000101111
57               30                     70.260420546         111100100110110010100100001011010010000001100101011100011
58               25                     59.256934852         1100100110001000011100110110010111101111101011011101100011
59               32                     74.946703172         11101000100011000010001101111110001101110010010100101010001
60               27                     63.895598481         110000001010100110101011000011011001010110000100011110100111
61               31                     72.398194523         1111110001111110011000000010110001110000101001000011100000011
62               37                     88.659870083         11111101110001001111001100011000101010100111001011100110011111
63               32                     75.312428807         111111110000010110001101010010110100001010110000011001101101101
64               31                     71.108892103         1111111110110011000001111011001101000101010111110010100000101001
65               36                     85.008006247         11010000100011110001101100100000010011101110111111011110000100111
66               29                     75.284720356         111100101101011001110101111010111000000111011100000111001110000001
67               36                     89.429780646         1111000000010011000110011001000110010001100110000100000010111111101
68               32                     80.846534531         11000000000001011010001000101011101100111001000110110010101001010011
69               36                     89.906392253         111001101101011010010110011001010100000011111110010010110011010101011
70               38                    102.695147536         1100000000111011101000000011011111100111111011111110101111111011001001
71               40                    103.817450453         11111111000010000001111101101011100011011000011101100010100001001100101
72               49                    125.255389432         110011111011010001010111101000011101101101101001001100101101001010001001
73               39                    102.165427389         1110011011101011001011101000001100010101101101001110001110101100111010011
74               39                     98.188525120         11000000011100101111000100101010110011010101100110010011111010111011010011
75               41                    102.193470270         110100100111101101010110110111011010111011001110111110001010011111010100001
76               45                    109.355815429         1110010000111010000000101000101011111111011100011010100101100110000101000011
77               64                    163.354529314         11001100010011000001010110000011000011000010110100111111110111100100111010001
78               44                    115.968383493         101100111110110111100010001110011110110000100011100100010010000111111101000001
79               50                    127.240274500         1100000100110100101111011100011011100101011011011100111010110011111000011010101
80               50                    127.025611053         11000010001001100000110110111001011110001011110110000001000011110000100111110101
81               55                    147.142120312         111101111111110000110101101110110000100011110000111011000011011100101110011001101
82               90                    233.553051418         1111111100100001110110010110001111100100010101010010110111100000001000110100110011
83               44                    103.459880118         11011010110101011101110101100111101100010110010000110110100001011001010111100000001
84               49                    121.010878537         111000111111100011000100110100011100010111111110011010010111101111000100010000011111
85               65                    177.578416977         1101000111101100010000111010101110111100001001000110011010101001010100100100110111101
86               47                    116.125837658         11101110000010010001010010010000101000111000010110100000110111110001001101010100101101
87               60                    144.539685277         110010100100111101011010001110101111011110001100000000111000100011000111001011100000011
88               43                    104.887657754         1111011010000101010111100100110000110010010010001111011111110101011000000110010010000111
89               141                   343.392463764         11011011101110001110111010101101000101011000111110101010011010100001000101111101001110001
90               57                    138.556963383         110101111011100100111110101111110001000111111101101000110000010100111100100111010101010001
91               121                   291.564235461         1101110000011011101110000110100001111000010100111011111010101011011010101010011000110101001
92               82                    208.191906048         11111000100000110000010110000100101011110010101111110101001110011110111011000111000111101111
93               51                    124.997481712         111011100000001101100001101111011000011100110001110110010000010010111010110100100000101100001
94               119                   398.429673889         1100011000001000011110100010000011100111101010100000101100111011001010110010101100100101110001
95               125                   290.434885748         01100101010100111111000011101101011000100011000110010100001101000110010111010110101010001010011
